team,group,avg_points,prob_group_1st,prob_group_2nd,prob_group_3rd,prob_group_4th,prob_advance,prob_eliminated
Mexico,Group A,5.2616,0.42735,0.2828,0.1937,0.09615,0.8591,0.14090000000000003
Czechia,Group A,4.3855,0.2654,0.2903,0.2785,0.1658,0.7567,0.24329999999999996
South Korea,Group A,4.2374,0.24105,0.28815,0.27225,0.19855,0.72055,0.27945
South Africa,Group A,2.37195,0.0662,0.13875,0.25555,0.5395,0.36,0.64
Switzerland,Group B,6.26125,0.563,0.28765,0.1101,0.03925,0.94015,0.05984999999999996
Canada,Group B,5.21325,0.31585,0.40935,0.19695,0.07785,0.8761,0.12390000000000001
Bosnia and Herzegovina,Group B,3.21975,0.08625,0.20405,0.43525,0.27445,0.56825,0.43174999999999997
Qatar,Group B,1.8837,0.0349,0.09895,0.2577,0.60845,0.27355,0.72645
Brazil,Group C,5.7421,0.49565,0.2779,0.16225,0.0642,0.90355,0.09645000000000004
Morocco,Group C,4.2092,0.20555,0.30685,0.3167,0.1709,0.73985,0.26015
Scotland,Group C,4.31195,0.24545,0.29845,0.2785,0.1776,0.73505,0.26495
Haiti,Group C,2.1453,0.05335,0.1168,0.24255,0.5873,0.31795,0.68205
Turkey,Group D,4.9736,0.4014,0.2685,0.1976,0.1325,0.81905,0.18095000000000006
Paraguay,Group D,4.0176,0.23255,0.2627,0.26505,0.2397,0.68345,0.31655
United States,Group D,3.647,0.18905,0.2448,0.26685,0.2993,0.618,0.382
Australia,Group D,3.50445,0.177,0.224,0.2705,0.3285,0.5826,0.4174
Germany,Group E,5.6311,0.4222,0.35605,0.15845,0.0633,0.9012,0.0988
Ecuador,Group E,5.6461,0.439,0.33215,0.16175,0.0671,0.89685,0.10314999999999996
Ivory Coast,Group E,2.9833,0.0881,0.18685,0.3736,0.35145,0.4991,0.5009
Curaçao,Group E,2.27195,0.0507,0.12495,0.3062,0.51815,0.35685,0.64315
Netherlands,Group F,5.98725,0.55185,0.2601,0.1293,0.05875,0.9146,0.08540000000000003
Japan,Group F,4.65715,0.26415,0.36225,0.2398,0.1338,0.79655,0.20345000000000002
Tunisia,Group F,2.9808,0.10725,0.1993,0.30855,0.3849,0.4929,0.5071
Sweden,Group F,2.7642,0.07675,0.17835,0.32235,0.42255,0.4533,0.5467
Belgium,Group G,5.9782,0.56035,0.25145,0.12855,0.05965,0.9127,0.08730000000000004
Iran,Group G,4.39765,0.23525,0.33855,0.25675,0.16945,0.7556,0.24439999999999995
New Zealand,Group G,3.0031,0.10405,0.2059,0.3118,0.37825,0.50605,0.49395
Egypt,Group G,2.97995,0.10035,0.2041,0.3029,0.39265,0.4878,0.5122
Spain,Group H,6.5574,0.625,0.2437,0.0955,0.0358,0.94795,0.05205000000000004
Uruguay,Group H,4.7834,0.24805,0.4181,0.2238,0.11005,0.8212,0.17879999999999996
Saudi Arabia,Group H,2.6686,0.06745,0.17365,0.3357,0.4232,0.43,0.5700000000000001
Cape Verde,Group H,2.59295,0.0595,0.16455,0.345,0.43095,0.4207,0.5792999999999999
France,Group I,5.79245,0.48305,0.3078,0.14995,0.0592,0.9098,0.09019999999999995
Norway,Group I,5.17025,0.357,0.34275,0.2056,0.09465,0.8522,0.14780000000000004
Senegal,Group I,3.5637,0.1187,0.24835,0.4062,0.22675,0.63805,0.36195
Iraq,Group I,1.9381,0.04125,0.1011,0.23825,0.6194,0.2757,0.7242999999999999
Argentina,Group J,6.53945,0.66495,0.21295,0.08765,0.03445,0.95015,0.04984999999999995
Austria,Group J,3.9383,0.1543,0.3417,0.29675,0.20725,0.6922,0.30779999999999996
Algeria,Group J,3.19865,0.10395,0.25075,0.3065,0.3388,0.53915,0.46085
Jordan,Group J,2.74415,0.0768,0.1946,0.3091,0.4195,0.4574,0.5426
Portugal,Group K,5.4036,0.399,0.348,0.17675,0.07625,0.88235,0.11765000000000003
Colombia,Group K,5.506,0.4398,0.3116,0.17175,0.07685,0.8823,0.11770000000000003
Uzbekistan,Group K,2.99715,0.09795,0.19405,0.33875,0.36925,0.49675,0.50325
Democratic Republic of Congo,Group K,2.48795,0.06325,0.14635,0.31275,0.47765,0.3947,0.6053
England,Group L,6.105,0.55405,0.2639,0.1325,0.04955,0.92685,0.07315000000000005
Croatia,Group L,4.6932,0.25365,0.3609,0.26485,0.1206,0.8098,0.19020000000000004
Panama,Group L,3.62365,0.14575,0.25995,0.33775,0.25655,0.626,0.374
Ghana,Group L,2.10525,0.04655,0.11525,0.2649,0.5733,0.31935,0.68065
