year,version,train_matches,test_matches,accuracy,log_loss,brier_score,home_win_brier,draw_brier,away_win_brier,avg_true_class_prob,avg_draw_prob,draw_recall,predicted_draws,actual_draws
2010,V1_elo_only,15356,64,0.5625,1.490456449128537,0.591317611805734,0.2696492904529425,0.19180784777479631,0.12986047357799516,0.4176949534867166,0.26079229675107174,0.0,0,16
2010,V2_elo_recent_form,15356,64,0.53125,1.5099692429672484,0.587279146061691,0.2659758569587464,0.19191785217638713,0.1293854369265574,0.42087538181058237,0.2593937616119999,0.0,0,16
2010,V3_elo_recent_form_h2h,15356,64,0.515625,1.5209307774875471,0.5910946854876975,0.2661185581083398,0.19340017658915226,0.1315759507902055,0.4214322187151662,0.2544080271885938,0.0,0,16
2010,V4_elo_recent_form_goal_stats,15356,64,0.546875,1.4903856293633801,0.5812616003151454,0.26562027091945617,0.19147024596071544,0.12417108343497384,0.42010285238626394,0.2653132875899367,0.0,0,16
2010,V5_elo_true_home_close_match,15356,64,0.5625,1.5056451046108057,0.5885847491296818,0.2661940876729165,0.19158651890231254,0.13080414255445272,0.4229089569342219,0.25422049454815215,0.0,0,16
2014,V1_elo_only,19125,64,0.578125,1.4513848958506383,0.5512140053213229,0.27318260909658365,0.16959346147906587,0.10843793474567351,0.42528217283405423,0.2733596731701663,0.0,0,13
2014,V2_elo_recent_form,19125,64,0.609375,1.4786275316788209,0.5516044336302268,0.27297531040565337,0.17154159020778964,0.1070875330167838,0.427870164424832,0.2734589400590904,0.0,0,13
2014,V3_elo_recent_form_h2h,19125,64,0.609375,1.4718044300961934,0.5525132537067314,0.27074146082451417,0.1711102765909695,0.11066151629124775,0.4283941186908322,0.2675011050434347,0.0,0,13
2014,V4_elo_recent_form_goal_stats,19125,64,0.578125,1.4831457603939544,0.5390525275096247,0.2632019008928129,0.16706142666740056,0.10878919994941119,0.4381592652501437,0.25894017538145553,0.0,0,13
2014,V5_elo_true_home_close_match,19125,64,0.578125,1.5053737570607448,0.5650302967261165,0.28006398640514807,0.17244832704006646,0.11251798328090201,0.42721881232029274,0.26920342377129325,0.0,0,13
2018,V1_elo_only,22719,64,0.546875,1.381656983999119,0.5777561102936635,0.2869182334082402,0.16628312967085002,0.12455474721457317,0.4113708196241871,0.2700899319421829,0.0,0,13
2018,V2_elo_recent_form,22719,64,0.578125,1.4033208057760842,0.5752164331514618,0.28282221482091074,0.1658161305249059,0.12657808780564506,0.4153279138595603,0.2699637600116916,0.0,0,13
2018,V3_elo_recent_form_h2h,22719,64,0.546875,1.388674688722186,0.580563425199067,0.28367739242753254,0.16558138985438137,0.1313046429171531,0.4137262376716435,0.26304862600550666,0.0,1,13
2018,V4_elo_recent_form_goal_stats,22719,64,0.59375,1.3995677189820899,0.5725103599859009,0.27895361995404067,0.16557544879144898,0.1279812912404113,0.41666254764886645,0.26504729989521814,0.0,0,13
2018,V5_elo_true_home_close_match,22719,64,0.546875,1.3933660909477832,0.570833444456257,0.28669103050263034,0.16485892518842443,0.11928348876520221,0.415236539748038,0.2762845797435873,0.0,0,13
2022,V1_elo_only,26717,64,0.546875,1.4712612893787589,0.5975501522892687,0.28876711828120805,0.17038801130261433,0.1383950227054463,0.4208194565998352,0.2568733163489982,0.0,0,15
2022,V2_elo_recent_form,26717,64,0.546875,1.4572757451539107,0.5963181776383293,0.28739643930582415,0.17116585429464592,0.1377558840378593,0.4184116834396992,0.2610286189039904,0.0,0,15
2022,V3_elo_recent_form_h2h,26717,64,0.53125,1.4574118131128495,0.595977650280267,0.28384057995127143,0.17179261498554663,0.14034445534344886,0.42050207069125267,0.25090162821240963,0.0,0,15
2022,V4_elo_recent_form_goal_stats,26717,64,0.546875,1.4813492517461628,0.6018833316639086,0.289873118957205,0.17256210512644307,0.1394481075802605,0.4189495560408627,0.25776819773027737,0.0,0,15
2022,V5_elo_true_home_close_match,26717,64,0.53125,1.443480154382228,0.6055004158788503,0.291514468131904,0.168661994158069,0.14532395358887729,0.41736772347866663,0.2606150876430483,0.0,0,15
