year,model,outcome,probability_bin,sample_count,avg_predicted_prob,actual_rate
2010,v4,home_win,"(0.7, 0.8]",5,0.7383472713775642,0.8
2010,v4,away_win,"(0.8, 0.9]",1,0.8366109584111286,0.0
2010,elo_only,home_win,"(0.7, 0.8]",5,0.7563447490569015,0.8
2010,elo_only,away_win,"(0.7, 0.8]",2,0.7252257234497098,0.0
2010,elo_only,away_win,"(0.8, 0.9]",1,0.8346959289410748,0.0
2010,raw_ensemble,home_win,"(0.7, 0.8]",5,0.7453829601690357,0.8
2010,raw_ensemble,away_win,"(0.7, 0.8]",1,0.7089747296179629,0.0
2010,raw_ensemble,away_win,"(0.8, 0.9]",1,0.8356534436761017,0.0
2010,v4_elo_ensemble_calibrated_v1,home_win,"(0.7, 0.8]",18,0.7452883041532267,0.8333333333333334
2010,v4_elo_ensemble_calibrated_v1,home_win,"(0.8, 0.9]",8,0.8415882417874985,1.0
2010,v4_elo_ensemble_calibrated_v1,home_win,"(0.9, 1.0]",2,0.9089247579952304,0.5
2010,v4_elo_ensemble_calibrated_v1,away_win,"(0.7, 0.8]",1,0.7754193556679831,0.0
2014,v4,home_win,"(0.7, 0.8]",7,0.7472279133803693,0.7142857142857143
2014,v4,home_win,"(0.8, 0.9]",1,0.8157204518163668,1.0
2014,elo_only,home_win,"(0.7, 0.8]",4,0.7523793968773461,0.75
2014,raw_ensemble,home_win,"(0.7, 0.8]",5,0.7564470225820918,0.6
2014,v4_elo_ensemble_calibrated_v1,home_win,"(0.7, 0.8]",15,0.7432933606145808,0.8666666666666667
2014,v4_elo_ensemble_calibrated_v1,home_win,"(0.8, 0.9]",7,0.8536014990486496,0.7142857142857143
2018,v4,home_win,"(0.7, 0.8]",3,0.7297161617009126,1.0
2018,v4,away_win,"(0.7, 0.8]",2,0.7312942397896869,0.0
2018,elo_only,home_win,"(0.7, 0.8]",2,0.710812642986806,1.0
2018,elo_only,away_win,"(0.7, 0.8]",2,0.7039533418295483,0.0
2018,raw_ensemble,home_win,"(0.7, 0.8]",1,0.7392798564832854,1.0
2018,raw_ensemble,away_win,"(0.7, 0.8]",2,0.7176237908096175,0.0
2018,v4_elo_ensemble_calibrated_v1,home_win,"(0.7, 0.8]",13,0.7570352822780956,0.8461538461538461
2018,v4_elo_ensemble_calibrated_v1,home_win,"(0.8, 0.9]",4,0.8192062767078812,1.0
2022,v4,home_win,"(0.7, 0.8]",6,0.7417030600799576,1.0
2022,v4,away_win,"(0.7, 0.8]",1,0.7793056157735536,0.0
2022,v4,away_win,"(0.8, 0.9]",1,0.8425762179438356,0.0
2022,elo_only,home_win,"(0.7, 0.8]",4,0.7387548557112713,1.0
2022,elo_only,away_win,"(0.7, 0.8]",2,0.7475239745851683,0.0
2022,elo_only,away_win,"(0.8, 0.9]",1,0.8190545143376751,0.0
2022,raw_ensemble,home_win,"(0.7, 0.8]",5,0.7381062902668807,1.0
2022,raw_ensemble,away_win,"(0.7, 0.8]",1,0.7866064827579968,0.0
2022,raw_ensemble,away_win,"(0.8, 0.9]",1,0.8308153661407554,0.0
2022,v4_elo_ensemble_calibrated_v1,home_win,"(0.7, 0.8]",13,0.7661385885725175,0.8461538461538461
2022,v4_elo_ensemble_calibrated_v1,home_win,"(0.8, 0.9]",8,0.8440542435962586,1.0
2022,v4_elo_ensemble_calibrated_v1,home_win,"(0.9, 1.0]",1,0.9038713634735351,1.0
2022,v4_elo_ensemble_calibrated_v1,away_win,"(0.7, 0.8]",1,0.7720062330502662,0.0
