year,model,train_matches,test_matches,top1_accuracy,non_draw_pick_accuracy,log_loss,brier_score,draw_recall,avg_draw_prob,draw_risk_flags,predicted_draws,actual_draws
2010,v4,15356,64,0.546875,0.7291666666666666,1.4831656856509823,0.5849929781870133,0.0,0.2724612966651283,50,0,16
2010,elo_only,15356,64,0.5625,0.75,1.4884340316676972,0.5917244754724538,0.0,0.2656339101513471,53,0,16
2010,raw_ensemble,15356,64,0.546875,0.7291666666666666,1.483081020520478,0.5873776976494828,0.0,0.2690476034082377,52,0,16
2010,v4_elo_ensemble_calibrated_v1,15356,64,0.671875,0.8958333333333334,2.1361429408441692,0.4307608572525884,0.0,0.23504297060196952,33,0,16
2014,v4,19125,64,0.609375,0.7647058823529411,1.4834701328073485,0.5397153424307182,0.0,0.2565268387702584,47,0,13
2014,elo_only,19125,64,0.578125,0.7254901960784313,1.4458712471366963,0.5501336881793657,0.0,0.2688348742143989,54,0,13
2014,raw_ensemble,19125,64,0.59375,0.7450980392156863,1.4616209703856167,0.543913680303391,0.0,0.26268085649232864,53,0,13
2014,v4_elo_ensemble_calibrated_v1,19125,64,0.734375,0.9411764705882353,2.18179998010411,0.40299429995458036,0.07692307692307693,0.26383415103572105,41,4,13
2018,v4,22719,64,0.59375,0.7450980392156863,1.4028677133405165,0.5717074446049919,0.0,0.261488823709336,47,0,13
2018,elo_only,22719,64,0.546875,0.6862745098039216,1.385613702373085,0.5768971211868309,0.0,0.2660406319718305,51,0,13
2018,raw_ensemble,22719,64,0.5625,0.7058823529411765,1.3924816828082789,0.5736117334746702,0.0,0.26376472784058325,51,0,13
2018,v4_elo_ensemble_calibrated_v1,22719,64,0.71875,0.9215686274509803,2.0336575382302136,0.38600558830986215,0.0,0.2704404214272222,42,1,13
2022,v4,26717,64,0.53125,0.6938775510204082,1.4545562655870803,0.5973265700739555,0.0,0.26023065044005833,48,0,15
2022,elo_only,26717,64,0.546875,0.7142857142857143,1.4480729716470666,0.5970432357872031,0.0,0.26142603249434193,48,0,15
2022,raw_ensemble,26717,64,0.546875,0.7142857142857143,1.4495066180546936,0.5965653760920622,0.0,0.26082834146720013,50,0,15
2022,v4_elo_ensemble_calibrated_v1,26717,64,0.59375,0.7755102040816326,2.1110913714867774,0.46972676402030866,0.0,0.24899467561851352,39,1,15
